currency,time,price
MERI,1729296000,6.832e-05
MERI,1729299600,6.833e-05
MERI,1729303200,6.845e-05
MERI,1729306800,6.844e-05
MERI,1729310400,6.834e-05
MERI,1729314000,6.839e-05
MERI,1729317600,6.833e-05
MERI,1729321200,6.834e-05
MERI,1729324800,6.84e-05
MERI,1729328400,6.834e-05
MERI,1729332000,6.824e-05
MERI,1729335600,6.808e-05
MERI,1729339200,6.821e-05
MERI,1729342800,6.811e-05
MERI,1729346400,6.829e-05
MERI,1729350000,6.822e-05
MERI,1729353600,6.804e-05
MERI,1729357200,6.812e-05
MERI,1729360800,6.818e-05
MERI,1729364400,6.818e-05
MERI,1729368000,6.824e-05
MERI,1729371600,6.821e-05
MERI,1729375200,6.833e-05
MERI,1729378800,6.837e-05
MERI,1729382400,6.822e-05
MERI,1729386000,6.815e-05
MERI,1729389600,6.816e-05
MERI,1729393200,6.818e-05
MERI,1729396800,6.823e-05
MERI,1729400400,6.821e-05
MERI,1729404000,6.839e-05
EFX,1729144800,0.005371
EFX,1729148400,0.005382
EFX,1729152000,0.005394
EFX,1729155600,0.005374
EFX,1729159200,0.005375
EFX,1729162800,0.005348
EFX,1729166400,0.005372
EFX,1729170000,0.00536
EFX,1729173600,0.005368
EFX,1729177200,0.005406
EFX,1729180800,0.005389
EFX,1729184400,0.005382
EFX,1729188000,0.005353
EFX,1729191600,0.005346
EFX,1729195200,0.005354
EFX,1729198800,0.005365
EFX,1729202400,0.005394
EFX,1729206000,0.005393
EFX,1729209600,0.005376
EFX,1729213200,0.005445
EFX,1729216800,0.005447
EFX,1729220400,0.005402
EFX,1729224000,0.005417
EFX,1729227600,0.005439
EFX,1729231200,0.005447
EFX,1729234800,0.005436
EFX,1729238400,0.005432
EFX,1729242000,0.005422
EFX,1729245600,0.005429
EFX,1729249200,0.005414
EFX,1729252800,0.005411
EFX,1729256400,0.005455
EFX,1729260000,0.005475
EFX,1729263600,0.0055
EFX,1729267200,0.005504
EFX,1729270800,0.005498
EFX,1729274400,0.005513
EFX,1729278000,0.005489
EFX,1729281600,0.005474
EFX,1729285200,0.005473
EFX,1729288800,0.005456
EFX,1729292400,0.005474
EFX,1729296000,0.005466
EFX,1729299600,0.005466
EFX,1729303200,0.005476
EFX,1729306800,0.005476
EFX,1729310400,0.005467
EFX,1729314000,0.005471
EFX,1729317600,0.005466
EFX,1729321200,0.005467
EFX,1729324800,0.005472
EFX,1729328400,0.005468
EFX,1729332000,0.005459
EFX,1729335600,0.005447
EFX,1729339200,0.005457
EFX,1729342800,0.005449
EFX,1729346400,0.005464
EFX,1729350000,0.005458
EFX,1729353600,0.005443
EFX,1729357200,0.00545
EFX,1729360800,0.005454
EFX,1729364400,0.005454
EFX,1729368000,0.005459
