currency,time,price
BTC,1729403940,68210.3
BTC,1729404000,68214.1
BTC,1729404060,68188.79
BTC,1729404120,68195.57
BTC,1729404180,68177.07
BTC,1729404240,68173.94
BTC,1729404300,68166.06
BTC,1729404360,68180.82
BTC,1729404420,68208.45
BTC,1729404480,68209.99
BTC,1729404540,68209.13
BTC,1729404600,68208.92
BTC,1729404660,68202.58
BTC,1729404720,68208.51
BTC,1729404780,68192.26
BTC,1729404840,68207.12
BTC,1729404900,68209.47
BTC,1729404960,68210.33
BTC,1729405020,68210.47
BTC,1729405080,68210.44
BTC,1729405140,68218.27
BTC,1729405200,68221.64
BTC,1729405260,68223.65
BTC,1729405320,68222.85
BTC,1729405380,68237.57
BTC,1729405440,68238.76
BTC,1729405500,68235.61
BTC,1729405560,68238.7
BTC,1729405620,68238.91
BTC,1729405680,68231.18
BTC,1729405740,68232
BTC,1729405800,68218.26
BTC,1729405860,68212.7
BTC,1729405920,68215.36
BTC,1729405980,68208.41
BTC,1729406040,68208.2
BTC,1729406100,68208.63
BTC,1729406160,68206.53
BTC,1729406220,68207.28
BTC,1729406280,68206.71
BTC,1729406340,68205.86
BTC,1729406400,68195.1
BTC,1729406460,68201.69
BTC,1729406520,68202.58
BTC,1729406580,68196.9
BTC,1729406640,68207.57
BTC,1729406700,68222.8
BTC,1729406760,68226.75
BTC,1729406820,68240.22
BTC,1729406880,68241.13
BTC,1729406940,68231.79
BTC,1729407000,68240.67
BTC,1729407060,68250.47
BTC,1729407120,68251.42
BTC,1729407180,68255.62
BTC,1729407240,68259.89
BTC,1729407300,68260.01
BTC,1729407360,68301.62
BTC,1729407420,68347.96
BTC,1729407480,68399.58
BTC,1729407540,68391.14
THL,1729403940,0.5122
THL,1729404000,0.5123
THL,1729404060,0.5123
THL,1729404120,0.5108
THL,1729404180,0.5107
THL,1729404240,0.5097
THL,1729404300,0.5096
THL,1729404360,0.5096
THL,1729404420,0.5095
THL,1729404480,0.5094
THL,1729404540,0.5093
THL,1729404600,0.5094
THL,1729404660,0.5075
THL,1729404720,0.5072
THL,1729404780,0.5072
THL,1729404840,0.5086
THL,1729404900,0.5086
THL,1729404960,0.5088
THL,1729405020,0.5087
THL,1729405080,0.5085
THL,1729405140,0.5085
THL,1729405200,0.5089
THL,1729405260,0.5086
THL,1729405320,0.5086
THL,1729405380,0.5084
THL,1729405440,0.5086
THL,1729405500,0.5089
THL,1729405560,0.5089
THL,1729405620,0.5092
THL,1729405680,0.5089
THL,1729405740,0.5092
THL,1729405800,0.5096
THL,1729405860,0.5093
THL,1729405920,0.5096
THL,1729405980,0.5096
THL,1729406040,0.5095
THL,1729406100,0.5107
